age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
36,admin.,single,primary,yes,4957,no,no,unknown,22,feb,700,2,-1,4,other,2.2634983795186923,94.44713653921362,-21.727739727892654,3.636425688429991,4668.444725771134,yes
35,entrepreneur,married,high.school,no,3727,yes,yes,cellular,29,jul,975,5,383,2,unknown,0.6263316581265794,91.13830339255986,-49.383000662570026,1.528221480738889,5818.507181223533,yes
59,unemployed,single,university.degree,yes,-628,yes,no,unknown,21,oct,70,6,383,1,other,2.2293777208678414,97.90320065684186,-46.226419525844086,4.456860847825178,4686.416785526492,yes
55,management,single,basic.9y,yes,1158,no,no,cellular,25,jun,188,5,-1,2,success,2.0756949718058557,95.42580674037103,-0.2904826074914837,4.098098064904004,4813.635396868236,no
44,technician,single,basic.9y,no,1544,yes,yes,unknown,17,jan,829,6,383,0,success,1.9817242134931385,99.25464893758539,-16.21638020538633,3.82381612622622,5758.794386214473,yes
20,student,single,high.school,yes,99,yes,no,telephone,21,jul,651,6,-1,1,other,0.020076108303546114,90.4089629904268,-44.53077700530562,2.805088066269038,5157.404613169429,yes
25,services,single,basic.9y,yes,2685,yes,no,unknown,8,oct,139,5,-1,5,other,-2.0248696090006195,92.3761654410763,-9.199104945407683,2.5716601106327417,4625.949481434244,yes
31,student,divorced,university.degree,no,3759,no,no,unknown,30,dec,16,7,383,7,success,1.8032511232591935,92.66517157040116,-0.9001967815968825,0.5075707961102429,5890.280543585463,no
37,admin.,married,tertiary,no,-828,yes,yes,cellular,17,apr,765,4,-1,3,other,1.923267919473199,93.48802145249259,-10.957229578889923,3.4449819200357976,4664.910826697777,no
49,management,divorced,secondary,no,-532,yes,no,cellular,7,mar,43,5,-1,1,unknown,2.583688693734464,90.83464257544658,-10.210311746354613,3.38509451128343,5151.3182061401585,yes
46,admin.,divorced,secondary,no,4578,no,no,unknown,2,nov,784,3,-1,8,other,1.0429795857270436,92.9904519276022,-46.39788519995104,3.5516813907875324,5060.846146517554,no
35,self-employed,divorced,high.school,yes,3229,no,no,unknown,2,feb,658,3,383,5,other,-1.833896263252633,90.20682571837636,-9.180593558737769,0.813600660347952,5684.994950694388,yes
37,entrepreneur,divorced,professional.course,yes,4401,no,yes,telephone,21,aug,76,3,383,4,success,-2.2206037632511393,90.49234942614243,-11.888446039403156,0.8925720693138292,4696.953709128759,no
58,technician,married,university.degree,no,3955,yes,no,telephone,11,apr,715,1,-1,5,success,1.9828858792264654,91.29536866322088,-41.01867943821255,3.306903258603599,4515.457728291364,yes
50,admin.,single,secondary,yes,645,no,yes,cellular,3,apr,65,1,-1,1,other,1.2408595668076412,95.73000196732106,-20.11977235950831,2.201655872858656,5752.635965315957,yes
21,technician,single,high.school,no,1733,no,yes,unknown,12,nov,583,2,-1,9,unknown,-1.4348137645161574,97.02928446964768,-22.411583697185026,3.84131717423694,5340.251156427315,no
38,self-employed,divorced,tertiary,yes,3599,no,no,telephone,16,jun,113,4,383,6,failure,1.5443989104648672,96.14223937433657,-27.856143513039754,2.396986764834673,4863.496252698383,yes
46,technician,married,high.school,no,1727,yes,no,unknown,31,apr,949,4,383,2,failure,-0.5932854400588918,98.01556148394982,-19.8288292670171,0.8400060554595254,5447.662201270468,yes
40,blue-collar,divorced,secondary,yes,2636,yes,yes,cellular,1,dec,850,7,-1,4,other,-1.5223696020503148,93.32635531564584,-42.169294570781204,2.5388384397547674,5477.466127990208,no
33,student,single,university.degree,yes,-486,yes,no,cellular,17,apr,57,7,-1,1,failure,-0.5412134217942537,93.12283468825798,-22.433865232888916,2.484866067618815,5724.828407762682,yes
42,entrepreneur,single,university.degree,no,901,no,yes,unknown,22,sep,982,6,383,7,success,2.299359544908401,92.24464074671575,-22.618350695075584,2.2876850185416275,5389.353068667091,yes
41,services,divorced,professional.course,no,1931,yes,no,unknown,27,feb,962,3,-1,4,other,-1.7787961058110773,94.68150616862361,-33.74952041599943,4.542657415013574,5320.39436771632,yes
50,blue-collar,married,professional.course,yes,3388,no,yes,cellular,24,nov,809,4,383,5,success,1.1994023978438282,97.77897550566793,-34.973859130817345,0.688894118156278,5180.810760066806,yes
32,management,divorced,primary,no,736,yes,yes,telephone,23,sep,984,5,-1,3,success,-2.019534686645411,96.76791446759094,-49.461032467801424,3.5926572812417477,5232.317316361552,no
55,management,divorced,primary,no,-328,yes,yes,telephone,2,jul,780,7,-1,4,success,2.1905753299088104,99.46365736399692,-43.943196674872915,1.2405745359348628,4762.974938143431,no
53,admin.,married,professional.course,yes,2465,yes,yes,unknown,12,jun,640,7,383,3,other,2.7633422857750096,94.61562746151836,-48.062131554220414,4.502092339493195,5723.213420560023,yes
